Video ID,Title,Channel,Upload Date,Views,Likes,Comments,Duration (min),Has Subtitles?,Subtitle Languages,Highest Quality,URL
SP-b_G74Nuk,Agentic AI Project in LangGraph | Build Loveable Clone,codebasics,20250902,33194,975,39,67.67,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=SP-b_G74Nuk
KAuIvccwbPY,What is Apache Spark?,codebasics,20251021,6193,311,33,7.35,No,,3840x2160,https://www.youtube.com/watch?v=KAuIvccwbPY
yRerKDM1h74,Data Warehouse vs Data Lake vs Data Lakehouse,codebasics,20251014,10245,330,24,16.28,No,,3840x2160,https://www.youtube.com/watch?v=yRerKDM1h74
OJKPrJ0wNvc,Is the AI Bubble About to Burst?,codebasics,20251009,136897,2763,399,8.38,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=OJKPrJ0wNvc
9-6LtfjYmpg,AI Agents: No Code vs Code Frameworks - Which one is right for you?,codebasics,20250926,12506,326,20,4.48,No,,3840x2160,https://www.youtube.com/watch?v=9-6LtfjYmpg
p54vr-NyxDc,5 AI Projects that give you unfair advantage,codebasics,20250912,24698,711,35,11.38,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=p54vr-NyxDc
ezdIOLbUSWg,Fine Tuning LLM Explained Simply,codebasics,20251006,17155,597,49,6.77,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=ezdIOLbUSWg
Jekzc6BM5_w,Build Your First AI Agent in 20 Minutes (No Coding Required),codebasics,20250906,90131,1662,93,20.93,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=Jekzc6BM5_w
GOKjRLd5bDo,Top 5 AI Tools That Will Dominate,codebasics,20251001,18903,577,101,5.23,No,,3840x2160,https://www.youtube.com/watch?v=GOKjRLd5bDo
Q-_D_2NWECE,RAG vs Fine Tuning vs Prompt Engineering,codebasics,20251017,5700,183,10,9.38,No,,3840x2160,https://www.youtube.com/watch?v=Q-_D_2NWECE
lcpWbg0jiYU,Context Engineering Simply Explained,codebasics,20250815,33558,667,26,14.93,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=lcpWbg0jiYU
KurGnK76-EU,Agentic RAG Simply Explained,codebasics,20250721,53415,1165,55,6.43,Yes,live_chat,1280x720,https://www.youtube.com/watch?v=KurGnK76-EU
G42J2MSKyc8,CrewAI Tutorial | Agentic AI Tutorial,codebasics,20250723,67697,1267,74,71.05,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=G42J2MSKyc8
